TOTAL REWARD,TILT,CRASH,GOAL,DISTANCEN_STEPS,DONE,ERRORE
-2.4248330748181175,-0.09616820735317526,0,0,-0.03857033163685385,63,False,3.8570331636853847
-2.463405777174362,-0.023701632639833256,0,0,-0.03857270235624442,64,False,3.8572702356244424
-2.501963772460864,-0.0160833538908625,0,0,-0.03855799528650192,65,False,3.8557995286501914
-2.540501425725034,-0.02215338067141142,0,0,-0.03853765326416957,66,False,3.8537653264169576
-2.5790430513276643,-0.03846663759410954,0,0,-0.0385416256026305,67,False,3.8541625602630494
-2.6176115367453026,-0.06521794806764424,0,0,-0.03856848541763822,68,False,3.8568485417638225
-2.656201138355573,-0.06150666780928222,0,0,-0.038589601610270495,69,False,3.8589601610270496
-2.6947838491410114,-0.04887989634054029,0,0,-0.03858271078543828,70,False,3.858271078543828
-2.733374312026034,-0.014587666194258931,0,0,-0.03859046288502225,71,False,3.859046288502225
-2.771975581085255,-0.031632666016996325,0,0,-0.03860126905922098,72,False,3.8601269059220984
-2.810574701035296,-0.026437979691344038,0,0,-0.0385991199500411,73,False,3.85991199500411
-2.8491402468062113,-0.04439261017126442,0,0,-0.03856554577091548,74,False,3.856554577091548
-2.8876505834858466,-0.03253348078780785,0,0,-0.03851033667963518,75,False,3.851033667963518
-2.9261323607447474,-0.09795208884312258,0,0,-0.03848177725890091,76,False,3.848177725890091
-2.964578418096157,-0.059579367360491825,0,0,-0.03844605735140968,77,False,3.8446057351409677
-3.0029412156438706,-0.09395263905071677,0,0,-0.038362797547713316,78,False,3.836279754771332
-3.041196950710372,-0.025542386736250935,0,0,-0.038255735066501366,79,False,3.825573506650137
-3.0793676238439756,-0.041409952418794846,0,0,-0.0381706731336034,80,False,3.81706731336034
-3.117484842896773,-0.017409755899061616,0,0,-0.03811721905279752,81,False,3.8117219052797515
-3.1555786269405752,-0.06643401756019712,0,0,-0.03809378404380218,82,False,3.8093784043802184
-3.1936695886275586,-0.09715913201130948,0,0,-0.038090961686983546,83,False,3.8090961686983547
-3.231778545858172,-0.014846151855249068,0,0,-0.0381089572306131,84,False,3.8108957230613094
-3.2699288138918585,-0.10867421205626308,0,0,-0.03815026803368664,85,False,3.8150268033686636
-3.3080992692548743,-0.08748448673084622,0,0,-0.03817045536301559,86,False,3.817045536301559
-3.346273967993889,-0.11477598519861253,0,0,-0.038174698739015016,87,False,3.817469873901502
-3.384472289260322,-0.09198819244977713,0,0,-0.03819832126643316,88,False,3.8198321266433157
